pattern_id,predicate,sup,card_class,pr_quartile,question,answer
P1,author,19810,single,Q1,What book has John Masefield written?,The Box of Delights
P1,author,19810,single,Q1,What book has Keith Baker (game designer) written?,Eberron Campaign Setting
P1,author,19810,single,Q1,What book has Paco Ignacio Taibo II written?,The Uncomfortable Dead
P1,author,19810,single,Q1,What book has Dorothy Kunhardt written?,Pat the Bunny
P1,author,19810,single,Q1,What book has Naomi Mitchison written?,Memoirs of a Spacewoman
P1,author,19810,single,Q1,What book has Edwin Charles Tubb written?,Ten from Tomorrow
P1,author,19810,single,Q1,What book has Ron Burnett written?,Cultures of Vision
P1,author,19810,single,Q1,What book has Anita Brookner written?,Hotel du Lac
P1,author,19810,single,Q1,What book has Bill Strutton written?,The Web Planet  Doctor Who and the Zarbi  1
P1,author,19810,single,Q1,What book has Welwyn Wilton Katz written?,Out of the Dark (Wilton Katz novel)
P1,author,19810,single,Q1,What book has Elizabeth Levy written?,The Computer That Said Steal Me
P1,author,19810,single,Q1,What book has Jack Abbott (author) written?,In the Belly of the Beast
P1,author,19810,single,Q1,What book has Paul Erickson written?,The Ark (Doctor Who)  The Ark  1
P1,author,19810,single,Q1,What book has Johannes V. Jensen written?,The Long Journey
P1,author,19810,single,Q1,What book has Kornel Makuszyński written?,Argument About Basia
P1,author,19810,single,Q1,What book has Edward P. Jones written?,The Known World
P1,author,19810,single,Q1,What book has Dare Wright written?,The Lonely Doll
P1,author,19810,single,Q1,What book has Ward Moore written?,Bring the Jubilee
P1,author,19810,single,Q1,What book has Dan Koeppel written?,To See Every Bird on Earth
P1,author,19810,single,Q1,What book has James Heneghan written?,The Grave (novel)
P1,author,19810,single,Q1,What book has Pierre Vallières written?,White Niggers of America
P1,author,19810,single,Q1,What book has Andrew Neiderman written?,The Baby Squad
P1,author,19810,single,Q1,What book has Ken Grimwood written?,Replay (Grimwood novel)
P1,author,19810,single,Q1,What book has Azadeh Moaveni written?,Lipstick Jihad
P1,author,19810,single,Q1,What book has Jung Chang written?,Mao: The Unknown Story
P1,author,19810,single,Q1,What book has Julie Burchill written?,Sugar Rush (novel)
P1,author,19810,single,Q1,What book has Robert Graysmith written?,Zodiac (book)
P1,author,19810,single,Q1,What book has Nancy Garden written?,Annie on My Mind
P1,author,19810,single,Q1,What book has Benjamin Barber written?,Jihad vs. McWorld
P1,author,19810,single,Q1,What book has Maureen F. McHugh written?,China Mountain Zhang
P1,author,19810,single,Q1,What book has Kjartan Poskitt written?,Murderous Maths
P1,author,19810,single,Q1,What book has Nick Arnold written?,Horrible Science
P1,author,19810,single,Q1,What book has Thomas Rockwell written?,How to Eat Fried Worms
P1,author,19810,single,Q1,What book has J. D. Beresford written?,The Hampdenshire Wonder
P1,author,19810,single,Q1,What book has Susan Kay written?,Phantom (Kay novel)
P1,author,19810,single,Q1,What book has M. Ageyev written?,Novel with Cocaine
P1,author,19810,single,Q1,What book has Traci Harding written?,Tablet of Destinies (book)
P1,author,19810,single,Q1,What book has William Shunn written?,Dance of the Yellow-Breasted Luddites
P1,author,19810,single,Q1,What book has Guy Davenport written?,The Logia of Yeshua
P1,author,19810,single,Q1,What book has Jean Lee Latham written?,"Carry On, Mr. Bowditch"
P1,author,19810,single,Q1,What book has Laura Adams Armer written?,Waterless Mountain
P1,author,19810,single,Q1,What book has Denis Guedj written?,The Parrot's Theorem
P1,author,19810,single,Q1,What book has James Plunkett written?,Strumpet City
P1,author,19810,single,Q1,What book has Willard Price written?,African Adventure
P1,author,19810,single,Q1,What book has Maia Wojciechowska written?,Shadow of a Bull
P1,author,19810,single,Q1,What book has Arthur Bowie Chrisman written?,Shen of the Sea
P1,author,19810,single,Q1,What book has Monica Shannon written?,Dobry
P1,author,19810,single,Q1,What book has Alain-René Lesage written?,Gil Blas
P1,author,19810,single,Q1,What book has Thorbjørn Egner written?,When the Robbers Came to Cardamom Town
P1,author,19810,single,Q1,What book has Lois Lenski written?,Strawberry Girl
P1,author,19810,single,Q1,What book has Janette Sebring Lowrey written?,The Poky Little Puppy
P1,author,19810,single,Q1,What book has Lori Bryant-Woolridge written?,Read Between the Lies
P1,author,19810,single,Q1,What book has George Samuel Clason written?,The Richest Man in Babylon (book)
P1,author,19810,single,Q1,What book has Marya Hornbacher written?,The Center of Winter
P1,author,19810,single,Q1,What book has Ann Turner (writer) written?,The Girl Who Chased Away Sorrow
P1,author,19810,single,Q1,What book has Harold Keith written?,Rifles for Watie
P1,author,19810,single,Q1,What book has Bhalchandra Nemade written?,Kosala (novel)
P1,author,19810,single,Q1,What book has Pieter Aspe written?,Zoenoffer
P1,author,19810,single,Q1,What book has Jerry Hopkins (author) written?,No One Here Gets Out Alive
P1,author,19810,single,Q1,What book has Eugène Sue written?,The Wandering Jew (novel)
P1,author,19810,single,Q1,What book has Patrick Hamilton (writer) written?,Hangover Square
P1,author,19810,single,Q1,What book has Kyle Onstott written?,Mandingo (novel)
P1,author,19810,single,Q1,What book has Michael Pearson (author) written?,Shohola Falls
P1,author,19810,single,Q1,What book has Édouard de Pomiane written?,La cuisine en dix minutes
P1,author,19810,single,Q1,What book has Charles Finger written?,Tales from Silver Lands
P1,author,19810,single,Q1,What book has Katharine Kerr written?,Daggerspell
P1,author,19810,single,Q1,What book has Adam McCune (novelist) written?,The Rats of Hamelin
P1,author,19810,single,Q1,What book has Jonathan Latimer written?,The Lady in the Morgue
P1,author,19810,single,Q1,What book has Annette von Droste-Hülshoff written?,Die Judenbuche
P1,author,19810,single,Q1,What book has James Percy FitzPatrick written?,Jock of the Bushveld
P1,author,19810,single,Q1,What book has Andrew Lang written?,The World's Desire
P1,author,19810,single,Q1,What book has Elizabeth George written?,Well-Schooled in Murder
P1,author,19810,single,Q1,What book has Gennifer Choldenko written?,Al Capone Does My Shirts
P1,author,19810,single,Q1,What book has Nathaniel Philbrick written?,In the Heart of the Sea
P1,author,19810,single,Q1,What book has Kathleen Sky written?,Vulcan!
P1,author,19810,single,Q1,What book has Daryl F. Mallett written?,Tales from Jabba's Palace
P1,author,19810,single,Q1,What book has Susan Orlean written?,The Orchid Thief
P1,author,19810,single,Q1,What book has Gerald Messadié written?,A History of the Devil
P1,author,19810,single,Q1,What book has Melinda Haynes written?,Mother of Pearl (novel)
P1,author,19810,single,Q1,What book has Pearl Cleage written?,What Looks Like Crazy on an Ordinary Day
P1,author,19810,single,Q1,What book has Jess Row written?,The Train to Lo Wu
P1,author,19810,single,Q1,What book has Andrés Caicedo written?,¡Que viva la música!
P1,author,19810,single,Q1,What book has Pat O'Shea (author) written?,The Hounds of the Morrigan
P1,author,19810,single,Q1,What book has Vladimir Bartol written?,Alamut (Bartol novel)
P1,author,19810,single,Q1,What book has Gottfried Keller written?,Green Henry
P1,author,19810,single,Q1,What book has Brenda Cooper written?,Building Harlequin's Moon
P1,author,19810,single,Q1,What book has Robert Young Pelton written?,The World's Most Dangerous Places
P1,author,19810,single,Q1,What book has Sattar Memon written?,The Ashram
P1,author,19810,single,Q1,What book has Mudrooroo written?,Wild Cat Falling
P1,author,19810,single,Q1,What book has Elizabeth Berg (author) written?,Open House (novel)
P1,author,19810,single,Q1,What book has Lynne Rae Perkins written?,Criss Cross (novel)
P1,author,19810,single,Q1,What book has Susan Juby written?,"Alice, I Think (novel)"
P1,author,19810,single,Q1,What book has Xue Xinran written?,Sky Burial
P1,author,19810,single,Q1,What book has Patricia Wrightson written?,The Nargun and the Stars
P1,author,19810,single,Q1,What book has Chris Lynch written?,Inexcusable
P1,author,19810,single,Q1,What book has Beatrix Christian written?,Blue Murder (Beatrix Christian play)
P1,author,19810,single,Q1,What book has Pär Lagerkvist written?,Barabbas (novel)
P1,author,19810,single,Q1,What book has Stephen Mertz written?,Sudden Death (1995 film)  Sudden Death  1
P1,author,19810,single,Q1,What book has Percy Greg written?,Across the Zodiac
P1,author,19810,single,Q1,What book has Robert Newton Peck written?,A Day No Pigs Would Die
P1,author,19810,single,Q1,What book has Gwyn Thomas (novelist) written?,All Things Betray Thee
P1,author,19810,single,Q1,What book has Robert K. G. Temple written?,The Sirius Mystery
P1,author,19810,single,Q1,What book has David Wong Louie written?,The Barbarians are Coming
P1,author,19810,single,Q1,What book has Klaus Mann written?,Mephisto (novel)
P1,author,19810,single,Q1,What book has John Lahr written?,"Love All the People: Letters, Lyrics, Routines"
P1,author,19810,single,Q1,What book has Ellen Fein written?,The Rules
P1,author,19810,single,Q1,What book has Sherrie Schneider written?,The Rules
P1,author,19810,single,Q1,What book has Kathryn Tucker Windham written?,13 Alabama Ghosts and Jeffrey
P1,author,19810,single,Q1,What book has A. J. Butcher written?,Spy High
P1,author,19810,single,Q1,"What book has John L. Parker, Jr. written?",Again to Carthage
P1,author,19810,single,Q1,What book has Sarah Micklem written?,Firethorn (novel)
P1,author,19810,single,Q1,What book has Will Aitken written?,Terre Haute (novel)
P1,author,19810,single,Q1,What book has Kent Haruf written?,Plainsong (novel)
P1,author,19810,single,Q1,What book has Charles Frazier written?,Cold Mountain (novel)
P1,author,19810,single,Q1,What book has Jim Grimsley written?,Dream Boy
P1,author,19810,single,Q1,What book has E.R. Frank written?,America (Frank novel)
P1,author,19810,single,Q1,What book has Frederic Farrar written?,"Eric, or, Little by Little"
P1,author,19810,single,Q1,What book has Kyle Smith written?,Love Monkey (novel)
P1,author,19810,single,Q1,What book has Alan Booth written?,The Roads to Sata
P1,author,19810,single,Q1,What book has David Oshinsky written?,Polio: An American Story
P1,author,19810,single,Q1,What book has Frances Itani written?,Deafening
P1,author,19810,single,Q1,What book has Adelbert von Chamisso written?,Peter Schlemihl
P1,author,19810,single,Q1,What book has Angela Lambert written?,A Rather English Marriage
P1,author,19810,single,Q1,What book has Christianna Brand written?,Green for Danger
P1,author,19810,single,Q1,What book has William Wharton (author) written?,Birdy (novel)
P1,author,19810,single,Q1,What book has Andy Greenwald written?,"Nothing Feels Good: Punk Rock, Teenagers, and Emo"
P1,author,19810,single,Q1,What book has Tristan Taormino written?,The Ultimate Guide to Anal Sex for Women
P1,author,19810,single,Q1,What book has Jack Heath written?,The Lab (novel)
P1,author,19810,single,Q1,What book has Chip Rawlins written?,The Complete Walker
P1,author,19810,single,Q1,What book has Carolyn Sherwin Bailey written?,Miss Hickory
P1,author,19810,single,Q1,What book has Emily Cheney Neville written?,"It's Like This, Cat"
P1,author,19810,single,Q1,What book has May Gibbs written?,Snugglepot and Cuddlepie
P1,author,19810,single,Q1,What book has John Palmer (author) written?,The House of Dr. Edwardes
P1,author,19810,single,Q1,What book has P. H. Newby written?,Something to Answer For
P1,author,19810,single,Q1,What book has Barbara Baynton written?,Bush Studies
P1,author,19810,single,Q1,What book has Norma Klein written?,Family Secrets (novel)
P1,author,19810,single,Q1,What book has Michka Assayas written?,Bono: In Conversation with Michka Assayas
P1,author,19810,single,Q1,What book has Osamu Dazai written?,No Longer Human
P1,author,19810,single,Q1,What book has Taichi Yamada written?,In Search of a Distant Voice
P1,author,19810,single,Q1,What book has Alexander Kielland written?,Poison (Kielland novel)
P1,author,19810,single,Q1,What book has William Diehl written?,Primal Fear (novel)
P1,author,19810,single,Q1,What book has Gautam Malkani written?,Londonstani
P1,author,19810,single,Q1,What book has Takeo Arishima written?,A Certain Woman
P1,author,19810,single,Q1,What book has Willy Vlautin written?,The Motel Life
P1,author,19810,single,Q1,What book has Elsie J. Oxenham written?,Abbey Series
P1,author,19810,single,Q1,What book has Steven Pressman written?,Outrageous Betrayal
P1,author,19810,single,Q1,What book has Sylvia Nasar written?,A Beautiful Mind (book)
P1,author,19810,single,Q1,What book has Frederic M. Wheelock written?,Wheelock's Latin
P1,author,19810,single,Q1,What book has Maryna and Serhiy Dyachenko written?,Wild Energy. Lana
P1,author,19810,single,Q1,What book has Jacques Cazotte written?,The Devil in Love (novel)
P1,author,19810,single,Q1,What book has Keith Elliot Greenberg written?,To Be the Man
P1,author,19810,single,Q1,What book has A. Lee Martinez written?,Gil's All Fright Diner
P1,author,19810,single,Q1,What book has Glen Duncan written?,"I, Lucifer (Duncan novel)"
P1,author,19810,single,Q1,What book has Joan Blos written?,A Gathering of Days
P1,author,19810,single,Q1,What book has Elizabeth Coatsworth written?,The Cat Who Went to Heaven
P1,author,19810,single,Q1,What book has Anurag Mathur written?,The Inscrutable Americans
P1,author,19810,single,Q1,What book has Jacques Futrelle written?,Elusive Isabel
P1,author,19810,single,Q1,What book has Bernard Waber written?,The House on East 88th Street
P1,author,19810,single,Q1,What book has Frank Arnau written?,Lautlos wie sein Schatten
P1,author,19810,single,Q1,What book has Murray Davies written?,Collaborator (novel)
P1,author,19810,single,Q1,What book has Richard Melo written?,Jokerman 8
P1,author,19810,single,Q1,What book has Joanna Trollope written?,A Village Affair
P1,author,19810,single,Q1,What book has J. J. Connolly written?,Layer Cake (novel)
P1,author,19810,single,Q1,What book has Katherine Hannigan written?,Ida B.
P1,author,19810,single,Q1,What book has Bennett Madison written?,Lulu Dark Can See Through Walls
P1,author,19810,single,Q1,What book has Jana Riess written?,What Would Buffy Do?
P1,author,19810,single,Q1,What book has Iain Aitch written?,A Fête Worse Than Death
P1,author,19810,single,Q1,What book has Christopher Bram written?,Father of Frankenstein
P1,author,19810,single,Q1,What book has Stoo Hample written?,The Silly Book
P1,author,19810,single,Q1,What book has Joseph Mitchell (writer) written?,Joe Gould's Secret
P1,author,19810,single,Q1,What book has Justine Harun-Mahdavi written?,Not Without My Husband
P1,author,19810,single,Q1,What book has Angela Johnson (writer) written?,The First Part Last
P1,author,19810,single,Q1,What book has Abha Dawesar written?,Babyji
P1,author,19810,single,Q1,What book has Martin Oliver (author) written?,Agent Arthur's Desert Challenge
P1,author,19810,single,Q1,What book has Karen Ackerman written?,Song and Dance Man
P1,author,19810,single,Q1,What book has Flavia Bujor written?,The Prophecy of the Stones
P1,author,19810,single,Q1,What book has Nick Earls written?,48 Shades of Brown
P1,author,19810,single,Q1,What book has Pavel Řezníček written?,Alexandr v tramvaji
P1,author,19810,single,Q1,What book has Cezaro Rossetti written?,"Kredu min, sinjorino!"
P1,author,19810,single,Q1,What book has Patrick D. Smith written?,A Land Remembered
P1,author,19810,single,Q1,What book has Timothy Tyson written?,Blood Done Sign My Name
P1,author,19810,single,Q1,What book has Catharine Sedgwick written?,Hope Leslie
P1,author,19810,single,Q1,What book has Ramdhari Singh Dinkar written?,Rashmirathi
P1,author,19810,single,Q1,What book has Elisabeth Dored written?,I Loved Tiberius
P1,author,19810,single,Q1,What book has Janice May Udry written?,A Tree Is Nice
P1,author,19810,single,Q1,What book has Talbot Baines Reed written?,The Fifth Form at St. Dominic's
P1,author,19810,single,Q1,What book has Rosalind Wiseman written?,Queen Bees and Wannabes
P1,author,19810,single,Q1,What book has Edward Lee (writer) written?,The Bighead
P1,author,19810,single,Q1,What book has Katherine Milhous written?,The Egg Tree
P1,author,19810,single,Q1,What book has Mary Louisa Molesworth written?,The Carved Lions
P1,author,19810,single,Q1,What book has Akiyuki Nosaka written?,Grave of the Fireflies (short story)
P1,author,19810,single,Q1,What book has Alan Armstrong written?,Whittington (novel)
P1,author,19810,single,Q1,What book has Tahar Djaout written?,The Last Summer of Reason
P1,author,19810,single,Q1,What book has Evan Thomas written?,The Wise Men (book)
P1,author,19810,single,Q1,What book has Sorche Nic Leodhas written?,Always Room for One More
P1,author,19810,single,Q1,What book has Beatrice Schenk de Regniers written?,May I Bring a Friend?
P1,author,19810,single,Q1,What book has Max Allan Collins written?,Flying Blind (novel)
P1,author,19810,single,Q1,What book has Derrick Jensen written?,Endgame (Derrick Jensen books)
P1,author,19810,single,Q1,What book has Bill Brittain written?,The Wish Giver
P1,author,19810,single,Q1,What book has Allegra Goodman written?,Kaaterskill Falls (novel)
P1,author,19810,single,Q1,What book has Darren Williams (author) written?,Angel Rock
P1,author,19810,single,Q1,What book has Richard Rhodes written?,The Making of the Atomic Bomb
P1,author,19810,single,Q1,What book has Yone Noguchi written?,The American Diary of a Japanese Girl
P1,author,19810,single,Q1,What book has Marie Brennan written?,Doppelganger (novel)
P1,author,19810,single,Q1,What book has H. L. Gold written?,None but Lucifer
P1,author,19810,single,Q1,What book has Duncan Ball written?,Selby's Secret
P1,author,19810,single,Q1,What book has David Thomson (film critic) written?,The New Biographical Dictionary of Film
P1,author,19810,single,Q1,What book has Sally Salminen written?,Katrina (novel)
P1,author,19810,single,Q1,What book has Charles Nicholl (author) written?,Leonardo da Vinci: The Flights of the Mind
P1,author,19810,single,Q1,What book has Alexander Volkov (writer) written?,The Wizard of the Emerald City
P1,author,19810,single,Q1,What book has Will Weaver written?,"Red Earth, White Earth"
P1,author,19810,single,Q1,What book has Edward Irenaeus Prime-Stevenson written?,Imre: A Memorandum
P1,author,19810,single,Q1,What book has Bernard Knight written?,The Witch Hunter (novel)
P1,author,19810,single,Q1,What book has Ann Jungman written?,Vlad the Drac
P1,author,19810,single,Q1,What book has Valerie Martin written?,Mary Reilly (novel)
P1,author,19810,single,Q1,What book has M. F. K. Fisher written?,Consider the Oyster
P1,author,19810,single,Q1,What book has Faith Hunter written?,Rogue Mage series
P1,author,19810,single,Q1,What book has Jeffery Farnol written?,The Amateur Gentleman
P1,author,19810,single,Q1,What book has Paul Beatty written?,The White Boy Shuffle
P1,author,19810,single,Q1,What book has Donald Weber written?,Haunted in the New World
P1,author,19810,single,Q1,What book has Seebohm Rowntree written?,"Poverty, A Study of Town Life"
P1,author,19810,single,Q1,What book has Leila Aboulela written?,The Translator
P1,author,19810,single,Q1,What book has José Cardoso Pires written?,Balada da Praia dos Cães
P1,author,19810,single,Q1,What book has Rikki Ducornet written?,The Stain
P1,author,19810,single,Q1,What book has Rodney Thompson written?,Dragon Magic
P1,author,19810,single,Q1,What book has Caroline Adams Miller written?,My Name Is Caroline
P1,author,19810,single,Q1,What book has Barry Perowne written?,A Singular Conspiracy
P1,author,19810,single,Q1,What book has Rob Sheffield written?,Love is a Mix Tape
P1,author,19810,single,Q1,What book has Sharyn McCrumb written?,Bimbos of the Death Sun
P1,author,19810,single,Q1,What book has Mitsumasa Anno written?,All in a Day
P1,author,19810,single,Q1,What book has Margie Palatini written?,Zak's Lunch
P1,author,19810,single,Q1,What book has Leah Bodine Drake written?,A Hornbook for Witches
P1,author,19810,single,Q1,What book has Diane Setterfield written?,The Thirteenth Tale
P1,author,19810,single,Q1,What book has Zealia Bishop written?,The Curse of Yig (book)
P1,author,19810,single,Q1,What book has Suresh Guptara written?,Conspiracy of Calaspia
P1,author,19810,single,Q1,What book has Robert Grant (novelist) written?,Unleavened Bread
P1,author,19810,single,Q1,What book has Greye La Spina written?,Invaders from the Dark
P1,author,19810,single,Q1,What book has Vincent Starrett written?,The Quick and the Dead (collection)
P1,author,19810,single,Q1,What book has Stanley McNail written?,Something Breathing
P1,author,19810,single,Q1,What book has Arthur J. Burks written?,Black Medicine
P1,author,19810,single,Q1,What book has Gary Myers (writer) written?,The House of the Worm
P1,author,19810,single,Q1,What book has Elizabeth Walter written?,In the Mist and Other Uncanny Encounters
P1,author,19810,single,Q1,What book has Mary Elizabeth Counselman written?,Half in Shadow
P1,author,19810,single,Q1,What book has David F. Case written?,The Third Grave
P1,author,19810,single,Q1,What book has David Kesterton written?,The Darkling
P1,author,19810,single,Q1,What book has David V. Barrett written?,The New Believers
P1,author,19810,single,Q1,What book has Michael Shea (author) written?,Polyphemus (book)
P1,author,19810,single,Q1,What book has Alexander Jablokov written?,The Breath of Suspension
P1,author,19810,single,Q1,What book has Frederic S. Durbin written?,Dragonfly (Durbin novel)
P1,author,19810,single,Q1,What book has Peter Ruber written?,Arkham's Masters of Horror
P1,author,19810,single,Q1,What book has John D. Harvey written?,The Cleansing (novel)
P1,author,19810,single,Q1,What book has Milt Thomas written?,Cave of a Thousand Tales
P1,author,19810,single,Q1,What book has Rajiv Chandrasekaran written?,Imperial Life in the Emerald City
P1,author,19810,single,Q1,What book has Leo Politi written?,Song of the Swallows
P1,author,19810,single,Q1,What book has Alvin Tresselt written?,"White Snow, Bright Snow"
P1,author,19810,single,Q1,What book has William Lipkind written?,Finders Keepers (book)
P1,author,19810,single,Q1,What book has Marie Hall Ets written?,Nine Days to Christmas
P1,author,19810,single,Q1,What book has Margaret Hodges written?,Saint George and the Dragon (book)
P1,author,19810,single,Q1,What book has Ed Young (illustrator) written?,Lon Po Po
P1,author,19810,single,Q1,What book has Peter Spier written?,Noah's Ark (book)
P1,author,19810,single,Q1,What book has Michael Harrison (writer) written?,The Exploits of Chevalier Dupin
P1,author,19810,single,Q1,What book has Margery Lawrence written?,"Number Seven, Queer Street"
P1,author,19810,single,Q1,What book has Norman Cantor written?,The American Century: Varieties of Culture in Modern Times
P1,author,19810,single,Q1,What book has Stephanie S. Tolan written?,Surviving the Applewhites
P1,author,19810,single,Q1,What book has Christina Lamb written?,The Africa House
P1,author,19810,single,Q1,What book has Chris Turner (author) written?,Planet Simpson
P1,author,19810,single,Q1,What book has Stephen Birmingham written?,Our Crowd
P1,author,19810,single,Q1,What book has Bai T. Moore written?,Murder in the Cassava Patch
P1,author,19810,single,Q1,What book has Sharon Tyler Herbst written?,Food Lover's Companion
P1,author,19810,single,Q1,What book has Jim B. Tucker written?,Life Before Life
P1,author,19810,single,Q1,What book has Loren L. Coleman written?,Bloodlines: The Story of Urza's Destiny
P1,author,19810,single,Q1,What book has Alma Routsong written?,Patience and Sarah
P1,author,19810,single,Q1,What book has Soji Shimada written?,The Tokyo Zodiac Murders
P1,author,19810,single,Q1,What book has Frank Schätzing written?,The Swarm (novel)
P1,author,19810,single,Q1,What book has Marijane Meaker written?,Spring Fire
P1,author,19810,single,Q1,What book has Samuel Selvon written?,The Lonely Londoners
P1,author,19810,single,Q1,What book has Sara Ryan written?,Empress of the World
P1,author,19810,single,Q1,What book has Josephine Johnson written?,Now in November
P1,author,19810,single,Q1,What book has Chie Nakane written?,Japanese Society (1970 book)
P1,author,19810,single,Q1,What book has Nancy Werlin written?,The Rules of Survival
P1,author,19810,single,Q1,What book has B. Wongar written?,Totem and Ore
P1,author,19810,single,Q1,What book has Pamela Dean written?,Tam Lin (novel)
P1,author,19810,single,Q1,What book has Helen Cross (author) written?,My Summer of Love (novel)
P1,author,19810,single,Q1,What book has Emma Holly written?,Demon's Delight
P1,author,19810,single,Q1,What book has Barry Werth written?,The Billion-Dollar Molecule
P1,author,19810,single,Q1,What book has Marilyn Durham written?,The Man Who Loved Cat Dancing
P1,author,19810,single,Q1,What book has Éric Chevillard written?,Démolir Nisard
P1,author,19810,single,Q1,What book has Tom Reynolds (EMT) written?,"Blood, Sweat & Tea"
P1,author,19810,single,Q1,What book has Eleanor Coerr written?,Sadako and the Thousand Paper Cranes
P1,author,19810,single,Q1,What book has Sara Gruen written?,Water for Elephants
P1,author,19810,single,Q1,What book has E. Cobham Brewer written?,A Guide to the Scientific Knowledge of Things Familiar
P1,author,19810,single,Q1,What book has Marjorie Liu written?,X-Men: Dark Mirror
P1,author,19810,single,Q1,What book has Henri Joseph Du Laurens written?,"Candide, Part II"
P1,author,19810,single,Q1,What book has Greg Child written?,Over the Edge (book)
P1,author,19810,single,Q1,What book has Branko Ćopić written?,Orlovi rano lete
P1,author,19810,single,Q1,What book has Zhang Chengzhi written?,History of the Soul
P1,author,19810,single,Q1,What book has David Korten written?,When Corporations Rule the World
P1,author,19810,single,Q1,What book has Mike Dash written?,Batavia's Graveyard
P1,author,19810,single,Q1,What book has Ronald Firbank written?,Valmouth
P1,author,19810,single,Q1,What book has Robert Pollok written?,The Course of Time
P1,author,19810,single,Q1,What book has Chris Armold written?,A Vulgar Display of Power: Courage and Carnage at the Alrosa Villa
P1,author,19810,single,Q1,What book has Phyllis Ann Karr written?,The Idylls of the Queen
P1,author,19810,single,Q1,What book has Melissa Müller written?,Anne Frank: The Biography
P1,author,19810,single,Q1,What book has Gail Z. Martin written?,The Summoner
P1,author,19810,single,Q1,What book has Gilbert Sorrentino written?,Mulligan Stew (novel)
P1,author,19810,single,Q1,What book has William Davenant written?,Gondibert
P1,author,19810,single,Q1,What book has Julia Hailes written?,The New Green Consumer Guide
P1,author,19810,single,Q1,What book has Ann Scott written?,Superstars (novel)
P1,author,19810,single,Q1,What book has Aya Kitō written?,1 Litre no Namida
