pattern_id,predicate,sup,card_class,pr_quartile,question,answer
P1,starring,60547,single,Q1,What television show did Pantea Bahram star in?,Mosafer (TV series)
P1,starring,60547,single,Q1,What television show did Stan Foster star in?,Tour of Duty (TV series)
P1,starring,60547,single,Q1,What television show did Mark Teschner star in?,I Wanna Be a Soap Star
P1,starring,60547,single,Q1,What television show did Carol Raye star in?,The Mavis Bramston Show
P1,starring,60547,single,Q1,What television show did Joseph Mydell star in?,Space Precinct
P1,starring,60547,single,Q1,What television show did Catherine Ferrar star in?,The Sixth Sense (TV series)
P1,starring,60547,single,Q1,What television show did Hedley Mattingly star in?,Daktari
P1,starring,60547,single,Q1,What television show did László Gálffi star in?,Wagner (film)
P1,starring,60547,single,Q1,What television show did Indrek Sammul star in?,Wikmani poisid (TV-series)
P1,starring,60547,single,Q1,What television show did Riki Blich star in?,Ktsarim
P1,starring,60547,single,Q1,What television show did G Beaudin star in?,Superhuman Samurai Syber-Squad
P1,starring,60547,single,Q1,What television show did Heather Suttie star in?,Live & Kicking
P1,starring,60547,single,Q1,What television show did Annie Fargé star in?,Angel (1960 TV series)
P1,starring,60547,single,Q1,What television show did Ken Roberts (announcer) star in?,Ladies Before Gentlemen
P1,starring,60547,single,Q1,What television show did Wiesław Gołas star in?,Czterej pancerni i pies
P1,starring,60547,single,Q1,What television show did Miki Maya star in?,Shibatora
P1,starring,60547,single,Q1,What television show did Ian Gordon Lindsay star in?,Sir Gadabout: The Worst Knight in the Land
P1,starring,60547,single,Q1,What television show did Alice Dixon Le Plongeon star in?,Hanggang Kailan
P1,starring,60547,single,Q1,What television show did Lee Seung-yeon star in?,First Love (1996 TV series)
P1,starring,60547,single,Q1,What television show did Lisa Jacobs (actor) star in?,All at No 20
P1,starring,60547,single,Q1,What television show did Tim Sander star in?,Verliebt in Berlin
P1,starring,60547,single,Q1,What television show did Kazimiera Szczuka star in?,Najsłabsze ogniwo
P1,starring,60547,single,Q1,What television show did Lew Parker star in?,That Girl
P1,starring,60547,single,Q1,What television show did Chantal Neuwirth star in?,Caméra Café
P1,starring,60547,single,Q1,What television show did Tina Kellegher star in?,The Snapper (film)
P1,starring,60547,single,Q1,What television show did Sun Yizhou star in?,IPartment
P1,starring,60547,single,Q1,What television show did Allen Hopkins (soccer commentator) star in?,MLS Primetime Thursday
P1,starring,60547,single,Q1,What television show did Johnathan McClain star in?,Retired at 35
P1,starring,60547,single,Q1,What television show did Karle Warren star in?,Judging Amy
P1,starring,60547,single,Q1,What television show did Payam Dehkordi star in?,The Searchers (TV series)
P1,starring,60547,single,Q1,What television show did Rolan Bykov star in?,Big School-Break
P1,starring,60547,single,Q1,What television show did Sam Delaney star in?,Gamer.tv
P1,starring,60547,single,Q1,What television show did Julian Orchard star in?,Pathfinders (TV series)
P1,starring,60547,single,Q1,What television show did Matreya Fedor star in?,Mr. Young
P1,starring,60547,single,Q1,What television show did Jenny Apostolou star in?,Double Trouble (Australian TV series)
P1,starring,60547,single,Q1,What television show did Ernie Bourne star in?,Magic Circle Club
P1,starring,60547,single,Q1,What television show did Audra Levi star in?,Kid's Beat
P1,starring,60547,single,Q1,What television show did Martin Flood star in?,The Master (Australian quiz show)
P1,starring,60547,single,Q1,What television show did Amita Nangia star in?,Aashiq Biwi Ka
P1,starring,60547,single,Q1,What television show did Nathaniel Taylor (artist) star in?,Smash Lab
P1,starring,60547,single,Q1,What television show did Daniel Brocklebank star in?,Ed Stone Is Dead
P1,starring,60547,single,Q1,What television show did Jaime Cardriche star in?,Malcolm & Eddie
P1,starring,60547,single,Q1,What television show did Lars Hjortshøj star in?,Casper & Mandrilaftalen
P1,starring,60547,single,Q1,What television show did Reg Lye star in?,Madhouse on Castle Street
P1,starring,60547,single,Q1,What television show did Mine Teber star in?,Geniş Aile
P1,starring,60547,single,Q1,What television show did Mahée Paiement star in?,Miss Météo
P1,starring,60547,single,Q1,What television show did Elise Gatien star in?,Tower Prep
P1,starring,60547,single,Q1,What television show did Susan Walden star in?,Danger Bay
P1,starring,60547,single,Q1,What television show did Felipe Camiroaga star in?,Pelotón
P1,starring,60547,single,Q1,What television show did Anna Dawson star in?,Bad Boyes
P1,starring,60547,single,Q1,What television show did Kris Pope star in?,Yeti: Curse of the Snow Demon
P1,starring,60547,single,Q1,What television show did Siu Ta star in?,This Is Wonderland
P1,starring,60547,single,Q1,What television show did Michelle Burke star in?,Little Men (TV series)
P1,starring,60547,single,Q1,What television show did Jeff Lieberman (roboticist) star in?,Time Warp (TV series)
P1,starring,60547,single,Q1,What television show did Jeremy Hawk star in?,Criss Cross Quiz
P1,starring,60547,single,Q1,What television show did Parastoo Golestani star in?,Man of Many Faces (TV series)
P1,starring,60547,single,Q1,What television show did Tetsuya Makita star in?,Socialite Belle Panchanne: The Wife Is a Superheroine!
P1,starring,60547,single,Q1,What television show did Bosley Crowther star in?,What's the Story
P1,starring,60547,single,Q1,What television show did Oscar Kightley star in?,Bro'Town
P1,starring,60547,single,Q1,What television show did Nanette Medved star in?,Compañero y Compañera
P1,starring,60547,single,Q1,What television show did Celestina Aladekoba star in?,DanceLife
P1,starring,60547,single,Q1,What television show did Larry B. Scott star in?,Super Force
P1,starring,60547,single,Q1,What television show did Allison Williams (reporter) star in?,ESPN2 College Football Friday Primetime
P1,starring,60547,single,Q1,What television show did Rafael Kubelík star in?,Concert Tonight
P1,starring,60547,single,Q1,What television show did Glenn Davis (sports broadcaster) star in?,MLS Primetime Thursday
P1,starring,60547,single,Q1,What television show did Ben Jones (DJ) star in?,It's a Mystery (CITV)
P1,starring,60547,single,Q1,What television show did Judi Trott star in?,Robin of Sherwood
P1,starring,60547,single,Q1,What television show did Camilla Marie Beeput star in?,Lunch Monkeys
P1,starring,60547,single,Q1,What television show did Terence Morgan star in?,Sir Francis Drake (TV series)
P1,starring,60547,single,Q1,What television show did Armand Dorian star in?,Deadliest Warrior
P1,starring,60547,single,Q1,What television show did Rachel Reenstra star in?,Designed to Sell
P1,starring,60547,single,Q1,What television show did George Savalas star in?,Kojak
P1,starring,60547,single,Q1,What television show did Theo Greenly star in?,The Jersey
P1,starring,60547,single,Q1,What television show did Scott Michael Campbell star in?,Nothing Sacred (TV series)
P1,starring,60547,single,Q1,What television show did Robert Thompson (poker director) star in?,Celebrity Poker Showdown
P1,starring,60547,single,Q1,What television show did Jeff Kaake star in?,Viper (TV series)
P1,starring,60547,single,Q1,What television show did Stevie Ryan star in?,Online Nation
P1,starring,60547,single,Q1,What television show did Elisabeth Dermot Walsh star in?,Falling for a Dancer
P1,starring,60547,single,Q1,What television show did Christopher Collet star in?,The Langoliers (miniseries)
P1,starring,60547,single,Q1,What television show did Kerrie Hayes star in?,Lilies (BBC TV series)
P1,starring,60547,single,Q1,What television show did Kristýna Leichtová star in?,Comeback (TV series)
P1,starring,60547,single,Q1,What television show did Margaret Warner star in?,Capital Gang
P1,starring,60547,single,Q1,What television show did Paul Sun Hyung Lee star in?,Train 48
P1,starring,60547,single,Q1,What television show did Richard Lauffen star in?,Timm Thaler (1979 TV series)
P1,starring,60547,single,Q1,What television show did Maibritt Saerens star in?,Krøniken
P1,starring,60547,single,Q1,What television show did Melinda Kinnaman star in?,"Mary, Mother of Jesus (film)"
P1,starring,60547,single,Q1,What television show did Ivor Danvers star in?,Howards' Way
P1,starring,60547,single,Q1,What television show did Kate Bellingham star in?,The Big Bang (TV series)
P1,starring,60547,single,Q1,What television show did Daan Schuurmans star in?,"Bernhard, schavuit van Oranje"
P1,starring,60547,single,Q1,What television show did Max Bretos star in?,MLS Game of the Week
P1,starring,60547,single,Q1,What television show did Hogan Sheffer star in?,I Wanna Be a Soap Star
P1,starring,60547,single,Q1,What television show did Virginie Efira star in?,Nouvelle Star
P1,starring,60547,single,Q1,What television show did Desmond Llewelyn star in?,Follyfoot
P1,starring,60547,single,Q1,What television show did Betty Lou Varnum star in?,The Magic Window
P1,starring,60547,single,Q1,What television show did Rocky Verma star in?,Twinkle Beauty Parlour Lajpat Nagar
P1,starring,60547,single,Q1,What television show did Renate Krößner star in?,Stubbe – Von Fall zu Fall
P1,starring,60547,single,Q1,What television show did Sal Paolantonio star in?,NFL Matchup
P1,starring,60547,single,Q1,What television show did Christien Anholt star in?,Relic Hunter
P1,starring,60547,single,Q1,What television show did Conard Fowkes star in?,Hidden Faces
P1,starring,60547,single,Q1,What television show did Tom Brown (actor) star in?,Mr. Lucky (TV series)
P1,starring,60547,single,Q1,What television show did Willie Best star in?,The Stu Erwin Show
P1,starring,60547,single,Q1,What television show did Peter Cousens star in?,Return to Eden
P1,starring,60547,single,Q1,What television show did Laurie Holloway star in?,The Dame Edna Experience
P1,starring,60547,single,Q1,What television show did Hazel Ann Mendoza star in?,Berks (TV series)
P1,starring,60547,single,Q1,What television show did Janaya Stephens star in?,While I Was Gone (film)
P1,starring,60547,single,Q1,What television show did Libbi Gorr star in?,The Catch-Up
P1,starring,60547,single,Q1,What television show did Matthew Berry star in?,The Fantasy Show
P1,starring,60547,single,Q1,What television show did Marieh Delfino star in?,All About Us (TV series)
P1,starring,60547,single,Q1,What television show did Valérie Allain star in?,French in Action
P1,starring,60547,single,Q1,What television show did Zuzana Vejvodová star in?,In Search of Janáček
P1,starring,60547,single,Q1,What television show did Angus MacInnes star in?,Space Island One
P1,starring,60547,single,Q1,What television show did Stanisław Mikulski star in?,Stawka większa niż życie
P1,starring,60547,single,Q1,What television show did Thu Tran star in?,Food Party
P1,starring,60547,single,Q1,What television show did Mehdi Hashemi (actor) star in?,Roozegar-e Gharib
P1,starring,60547,single,Q1,What television show did Maria Foka star in?,Ntoltse Vita
P1,starring,60547,single,Q1,What television show did Zaib Shaikh star in?,Little Mosque on the Prairie
P1,starring,60547,single,Q1,What television show did Courtney Taylor Burness star in?,Deal (TV program)
P1,starring,60547,single,Q1,What television show did David F. Tolin star in?,The OCD Project
P1,starring,60547,single,Q1,What television show did Alexandra Coppinger star in?,Dead Gorgeous
P1,starring,60547,single,Q1,What television show did Lara Amersey star in?,Monster Warriors
P1,starring,60547,single,Q1,What television show did Emma Relph star in?,The Day of the Triffids (1981 TV series)
P1,starring,60547,single,Q1,What television show did Fabio Fazio star in?,Che tempo che fa
P1,starring,60547,single,Q1,What television show did Aislinn Paul star in?,Wild Card (TV series)
P1,starring,60547,single,Q1,What television show did Petros Papadakis star in?,Pros vs. Joes
P1,starring,60547,single,Q1,What television show did Andrew Levy star in?,Red Eye (TV series)
P1,starring,60547,single,Q1,What television show did John Arnatt star in?,The Adventures of Robin Hood (TV series)
P1,starring,60547,single,Q1,What television show did Chris McCausland star in?,Me Too! (UK TV series)
P1,starring,60547,single,Q1,What television show did Tom Simcox star in?,Code R
P1,starring,60547,single,Q1,What television show did Chuck Faulkner star in?,Division 4
P1,starring,60547,single,Q1,What television show did Lee Young-jin (actress) star in?,Coma (South Korean miniseries)
P1,starring,60547,single,Q1,What television show did Jane Rossington star in?,Crossroads (soap opera)
P1,starring,60547,single,Q1,What television show did Elizabeth Hoffman (actress) star in?,Sisters (TV series)
P1,starring,60547,single,Q1,What television show did Nicolette van Dam star in?,Zoop (TV series)
P1,starring,60547,single,Q1,What television show did John Clarke (actor) star in?,The New Breed (TV series)
P1,starring,60547,single,Q1,What television show did Anne Phelan star in?,Poor Man's Orange
P1,starring,60547,single,Q1,What television show did Kelo Henderson star in?,26 Men
P1,starring,60547,single,Q1,What television show did James Lorinz star in?,City (TV series)
P1,starring,60547,single,Q1,What television show did Suzane Northrop star in?,The Afterlife with Suzane Northrop
P1,starring,60547,single,Q1,What television show did Anh Do star in?,Don't Blame Me (TV series)
P1,starring,60547,single,Q1,What television show did Nadia Nascimento star in?,Animorphs (TV series)
P1,starring,60547,single,Q1,What television show did Gillian McKeith star in?,You Are What You Eat
P1,starring,60547,single,Q1,What television show did Jennifer Kotwal star in?,Just Mohabbat
P1,starring,60547,single,Q1,What television show did Jóhannes Ásbjörnsson star in?,Idol stjörnuleit
P1,starring,60547,single,Q1,What television show did Nani Darnell star in?,The Magic Land of Allakazam
P1,starring,60547,single,Q1,What television show did Peter Coonan star in?,Love/Hate (TV series)
P1,starring,60547,single,Q1,What television show did Richard Piper star in?,CrashBurn
P1,starring,60547,single,Q1,What television show did Gretchen Massey star in?,House Calls: The Big Brother Talk Show
P1,starring,60547,single,Q1,What television show did Jin Shijia star in?,IPartment
P1,starring,60547,single,Q1,What television show did Gerard Christopher star in?,Superboy (TV series)
P1,starring,60547,single,Q1,What television show did Peter Gleick star in?,Earth 2100
P1,starring,60547,single,Q1,What television show did Barbara Bryne star in?,"Love, Sidney"
P1,starring,60547,single,Q1,What television show did Leanne Rowe star in?,Lilies (BBC TV series)
P1,starring,60547,single,Q1,What television show did Tony Pitts star in?,The Gemma Factor
P1,starring,60547,single,Q1,What television show did Mehran Rajabi star in?,Rahe Bipayan
P1,starring,60547,single,Q1,What television show did Luc Merenda star in?,Nonni and Manni
P1,starring,60547,single,Q1,What television show did Louise Wallace star in?,Street Legal (2000)
P1,starring,60547,single,Q1,What television show did Stella Moray star in?,Alexander the Greatest
P1,starring,60547,single,Q1,What television show did Álex Martínez (actor) star in?,Amar en tiempos revueltos
P1,starring,60547,single,Q1,What television show did Allyson Brown star in?,Bear Behaving Badly
P1,starring,60547,single,Q1,What television show did Ivor Setterfield star in?,The Singing Estate
P1,starring,60547,single,Q1,What television show did Matthijs van de Sande Bakhuyzen star in?,Bloedbroeders
P1,starring,60547,single,Q1,What television show did Ing-Marie Carlsson star in?,Tre kronor (TV series)
P1,starring,60547,single,Q1,What television show did Alejandra Bogue star in?,Guau!
P1,starring,60547,single,Q1,What television show did Marija Karan star in?,"Ljubav, navika, panika"
P1,starring,60547,single,Q1,What television show did Suanne Braun star in?,Starhyke
P1,starring,60547,single,Q1,What television show did Natasha Beaumont star in?,My Spy Family
P1,starring,60547,single,Q1,What television show did Stephanie Turner star in?,Juliet Bravo
P1,starring,60547,single,Q1,What television show did Veronica Sywak star in?,CrashBurn
P1,starring,60547,single,Q1,What television show did Krzysztof Stroiński star in?,Ekipa (TV series)
P1,starring,60547,single,Q1,What television show did Vivek V. Mashru star in?,Akkad Bakkad Bambey Bo
P1,starring,60547,single,Q1,What television show did Oris Erhuero star in?,The Adventures of Sinbad
P1,starring,60547,single,Q1,What television show did Daniel H. Jenkins star in?,Tanner '88
P1,starring,60547,single,Q1,What television show did Rupert Simonian star in?,Life Bites
P1,starring,60547,single,Q1,What television show did Branko Pleša star in?,The Bizarre Country
P1,starring,60547,single,Q1,What television show did Memet Ali Alabora star in?,Kara Melek (TV series)
P1,starring,60547,single,Q1,What television show did Mark Humphrey (actor) star in?,I'll Be Seeing You (2004 film)
P1,starring,60547,single,Q1,What television show did Anthony Hawkins star in?,Special Squad (1984)
P1,starring,60547,single,Q1,What television show did Tim Elston star in?,Bellamy (TV series)
P1,starring,60547,single,Q1,What television show did Anja Coleby star in?,Flipper (1995 TV series)
P1,starring,60547,single,Q1,What television show did Gladys Rodríguez star in?,Los García
P1,starring,60547,single,Q1,What television show did Jacqueline Obradors star in?,Freddie
P1,starring,60547,single,Q1,What television show did Michael Shapiro (actor) star in?,Interpol Investigates
P1,starring,60547,single,Q1,What television show did Richard O'Donnell (playwright) star in?,R. Rated
P1,starring,60547,single,Q1,What television show did Sunwoo Yong-nyeo star in?,Love Me When You Can
P1,starring,60547,single,Q1,What television show did Pat Conway star in?,Tombstone Territory
P1,starring,60547,single,Q1,What television show did Ann George star in?,Crossroads (soap opera)
P1,starring,60547,single,Q1,What television show did Lynda La Plante star in?,Marmalade Atkins
P1,starring,60547,single,Q1,What television show did David Yip star in?,The Chinese Detective
P1,starring,60547,single,Q1,What television show did Rachel Thomas star in?,The Life and Times of David Lloyd George
P1,starring,60547,single,Q1,What television show did Shedrack Anderson III star in?,Just Deal
P1,starring,60547,single,Q1,What television show did Joshua Elijah Reese star in?,The Kill Point
P1,starring,60547,single,Q1,What television show did Claudia Harrison star in?,Attachments (TV series)
P1,starring,60547,single,Q1,What television show did Susan Hanson star in?,Crossroads (soap opera)
P1,starring,60547,single,Q1,What television show did Jarred Christmas star in?,The Persuasionists
P1,starring,60547,single,Q1,What television show did Andrea Marcovicci star in?,Love Is a Many Splendored Thing (TV series)
P1,starring,60547,single,Q1,What television show did Cesare Danova star in?,Garrison's Gorillas
P1,starring,60547,single,Q1,What television show did Earl Wilson (columnist) star in?,Stage Entrance
P1,starring,60547,single,Q1,What television show did Benedict Smith star in?,Life Bites
P1,starring,60547,single,Q1,What television show did Ivan Botha star in?,Getroud met rugby
P1,starring,60547,single,Q1,What television show did Paw Diaz star in?,The Substitute Bride
P1,starring,60547,single,Q1,What television show did Lori Dungey star in?,Mrs Bracegirdle's Woodlyn Park Adventure
P1,starring,60547,single,Q1,What television show did Edie Mirman star in?,Noozles
P1,starring,60547,single,Q1,What television show did Kayky Brito star in?,O Beijo do Vampiro
P1,starring,60547,single,Q1,What television show did Chris Van Vliet star in?,969 (TV series)
P1,starring,60547,single,Q1,What television show did Fauzi Baadilla star in?,Dunia Tanpa Koma
P1,starring,60547,single,Q1,What television show did William Elliot Griffis star in?,The Magnificent Yankee (1965 film)
P1,starring,60547,single,Q1,What television show did Véronique Cloutier star in?,Véro
P1,starring,60547,single,Q1,What television show did Roz Kelly star in?,The Paul Lynde Halloween Special
P1,starring,60547,single,Q1,What television show did Burr Tillstrom star in?,"Kukla, Fran and Ollie"
P1,starring,60547,single,Q1,What television show did Tatjana Blacher star in?,Anne Frank: The Whole Story
P1,starring,60547,single,Q1,What television show did Natalia Sánchez (actress) star in?,Amar en tiempos revueltos
P1,starring,60547,single,Q1,What television show did Lara Wollington star in?,64 Zoo Lane
P1,starring,60547,single,Q1,What television show did Ben Lewis (actor) star in?,Stir of Echoes: The Homecoming
P1,starring,60547,single,Q1,What television show did Martin Dingle-Wall star in?,Cops L.A.C.
P1,starring,60547,single,Q1,What television show did Paul Usher star in?,Liverpool 1 (TV series)
P1,starring,60547,single,Q1,What television show did Angela Dohrmann star in?,Material World (TV series)
P1,starring,60547,single,Q1,What television show did Dariush Arjmand star in?,Shaheed-e-Kufa
P1,starring,60547,single,Q1,What television show did Amber Lancaster star in?,The Hard Times of RJ Berger
P1,starring,60547,single,Q1,What television show did Michael de Avila star in?,Lunkerville
P1,starring,60547,single,Q1,What television show did Dorothy Atkinson star in?,"Housewife, 49"
